policy_number,sale_date,product_value_,sale_value_nis,nature,percentage_of_sale,city,year_of_construction,area,bedrooms,addresses,address,coordinates,closest_direct_address,direct_distance_km,class,sale_year,sale_year_range,subgroup
"['006157', '0768']",2022-06-20 00:00:00,1400000,1400000,דירה בבית קומות,0.5,רמת גן,2016,98,4,['רמת גן אלרואי 53'],אלרואי 53 רמת גן,"(32.071484166666664, 34.822455399999996)",Bialik,1.971155605,1000+,2022,21-22,21-22 - 1000+
"['006157', '0694']",2021-10-12 00:00:00,2315849,2315849,דירה בבית קומות,1,רמת גן,2022,67,3,['רמת גן אלרואי 39'],אלרואי 39 רמת גן,"(32.071523133333336, 34.8215902)",Bialik,1.930910832,1000+,2021,21-22,21-22 - 1000+
"['006158', '0223']",2021-11-02 00:00:00,2000000,2000000,דירה בבית קומות,1,רמת גן,2020,73,3,['רמת גן סמטת השילוח 10'],סמטת השילוח 10 רמת גן,"(32.0755203, 34.8203911)",Bialik,1.484538336,1000+,2021,21-22,21-22 - 1000+
"['006158', '0223']",2021-11-22 00:00:00,1880000,1880000,דירה בבית קומות,1,רמת גן,2020,73,3,['רמת גן סמטת השילוח 10'],סמטת השילוח 10 רמת גן,"(32.0755203, 34.8203911)",Bialik,1.484538336,1000+,2021,21-22,21-22 - 1000+
"['006157', '0714']",2021-10-21 00:00:00,2290000,2290000,דירה בבית קומות,1,רמת גן,2000,99,4,['רמת גן המלך יוסף 37'],המלך יוסף 37 רמת גן,"(32.07093413333333, 34.82135576666667)",Bialik,1.981005661,1000+,2021,21-22,21-22 - 1000+
"['006158', '0124']",2021-12-08 00:00:00,2200000,2200000,דירה בבית קומות,1,רמת גן,2002,80,4,['רמת גן הרכסים 69'],הרכסים 69 רמת גן,"(32.0729649, 34.8232546)",Bialik,1.865775408,1000+,2021,21-22,21-22 - 1000+
"['006157', '0696']",2021-10-31 00:00:00,1050000,1050000,דירה בבית קומות,0.5,רמת גן,2008,77,4,['רמת גן אלרואי 47'],אלרואי 47 רמת גן,"(32.07150086666667, 34.8220846)",Bialik,1.953589994,1000+,2021,21-22,21-22 - 1000+
"['006158', '0223']",2021-11-22 00:00:00,2500000,2500000,דירה בבית קומות,1,רמת גן,2020,82,4,['רמת גן סמטת השילוח 10'],סמטת השילוח 10 רמת גן,"(32.0755203, 34.8203911)",Bialik,1.484538336,1000+,2021,21-22,21-22 - 1000+
"['006158', '0184']",2021-12-08 00:00:00,2000000,2000000,דירה בבית קומות,1,רמת גן,1960,88,3,['רמת גן דרך דוד בן-גוריון 163'],דוד בן-גוריון 163 רמת גן,"(32.07660503969826, 34.81904558976496)",Bialik,1.31903221,1000+,2021,21-22,21-22 - 1000+
"['006157', '0686']",2021-11-08 00:00:00,3050000,3050000,דירה בבית קומות,0.5,רמת גן,1960,100,4,['רמת גן רוחמה 32'],רוחמה 32 רמת גן,"(32.071829192307696, 34.82120437692308)",Bialik,1.884719907,1000+,2021,21-22,21-22 - 1000+
"['006158', '0212']",2022-01-05 00:00:00,2800000,2800000,דירה בבית קומות,1,רמת גן,2019,116,4,['רמת גן עציון 18'],עציון 18 רמת גן,"(32.075310566666666, 34.81939296666667)",Bialik,1.462560522,1000+,2022,21-22,21-22 - 1000+
"['006158', '0422']",2021-12-02 00:00:00,865000,865000,דירה בבית קומות,0.5,רמת גן,1960,92,3,['רמת גן ידידיה 8'],ידידיה 8 רמת גן,"(32.0770061, 34.8201498)",Bialik,1.33048917,1000+,2021,21-22,21-22 - 1000+
"['006158', '0275']",2021-11-04 00:00:00,1240000,1240000,דירה בבית קומות,1,רמת גן,1960,35,2,['רמת גן עוזיאל 37'],עוזיאל 37 רמת גן,"(32.07556182631579, 34.823265142105264)",Bialik,1.628929363,1000+,2021,21-22,21-22 - 1000+
"['006157', '0694']",2021-11-09 00:00:00,3632479,4255849,דירה בבית קומות,1,רמת גן,2022,98,4,['רמת גן אלרואי 39'],אלרואי 39 רמת גן,"(32.071523133333336, 34.8215902)",Bialik,1.930910832,1000+,2021,21-22,21-22 - 1000+
"['006158', '0441']",2021-11-29 00:00:00,2380000,2380000,דירה בבית קומות,1,רמת גן,2000,79,4,['רמת גן עוזיאל 34'],עוזיאל 34 רמת גן,"(32.0767735, 34.8231875)",Bialik,1.519422618,1000+,2021,21-22,21-22 - 1000+
"['006157', '0658']",2021-11-18 00:00:00,2400000,2400000,דירה בבית קומות,1,רמת גן,2010,85,4,['רמת גן יד שלום 39'],יד שלום 39 רמת גן,"(32.072613411111114, 34.82162517037037)",Bialik,1.82392969,1000+,2021,21-22,21-22 - 1000+
"['006158', '0106']",2021-12-05 00:00:00,760000,760000,דירה בבית קומות,0.062,רמת גן,1960,47,3,"['רמת גן מוריה 36', 'רמת גן לוחמי סיני 1', 'רמת גן לוחמי סיני 3']",מוריה 36 רמת גן,"(32.07412, 34.8218657)",Bialik,1.688326545,1000+,2021,21-22,21-22 - 1000+
"['006157', '0550']",2021-12-20 00:00:00,375000,375000,דירה בבית קומות,0.25,רמת גן,1950,74,3,"['רמת גן כנפי נשרים 42', 'רמת גן עוזיאל 96']",כנפי נשרים 42 רמת גן,"(32.0700113, 34.8221904)",Bialik,2.106763195,1000+,2021,21-22,21-22 - 1000+
"['006158', '0272']",2022-01-24 00:00:00,2180000,2180000,דירה בבית קומות,1,רמת גן,1960,72,3,['רמת גן עוזיאל 43'],עוזיאל 43 רמת גן,"(32.07535995789473, 34.823250252631574)",Bialik,1.645961291,1000+,2022,21-22,21-22 - 1000+
"['006157', '0660']",2022-01-27 00:00:00,2395000,2395000,דירה בבית קומות,1,רמת גן,2000,80,4,['רמת גן יד שלום 31'],יד שלום 31 רמת גן,"(32.07264376666667, 34.821001555555554)",Bialik,1.794820186,1000+,2022,21-22,21-22 - 1000+
"['006157', '0765']",2022-02-07 00:00:00,1205000,1205000,דירה בבית קומות,0.5,רמת גן,2004,69,3,"['רמת גן רוחמה 46', 'רמת גן רוחמה 44']",רוחמה 46 רמת גן,"(32.07178390769231, 34.82223332307692)",Bialik,1.93199507,1000+,2022,21-22,21-22 - 1000+
"['006157', '0765']",2022-02-07 00:00:00,1205000,1210000,דירה בבית קומות,0.5,רמת גן,2004,69,3,"['רמת גן רוחמה 46', 'רמת גן רוחמה 44']",רוחמה 46 רמת גן,"(32.07178390769231, 34.82223332307692)",Bialik,1.93199507,1000+,2022,21-22,21-22 - 1000+
"['006158', '0017']",2022-02-14 00:00:00,2330000,2330000,דירה בבית קומות,1,רמת גן,1991,96,4,"['רמת גן עוזיאל 12', 'רמת גן עוזיאל 12']",עוזיאל 12 רמת גן,"(32.078208149999995, 34.823013623131345)",Bialik,1.390074234,1000+,2022,21-22,21-22 - 1000+
"['006157', '0601']",2022-02-22 00:00:00,2430000,2430000,דירה בבית קומות,1,רמת גן,1970,70,3,"['רמת גן כנפי נשרים 21', 'רמת גן אלישיב 21']",כנפי נשרים 21 רמת גן,"(32.0706379, 34.8204985)",Bialik,1.980014348,1000+,2022,21-22,21-22 - 1000+
"['006158', '0115']",2022-01-13 00:00:00,2250000,2250000,דירה בבית קומות,1,רמת גן,1960,85,4,['רמת גן מוצא 14'],מוצא 14 רמת גן,"(32.0735188, 34.827526)",Ben Gurion,1.970776516,1000+,2022,21-22,21-22 - 1000+
"['006157', '0684']",2022-02-09 00:00:00,2570000,2570000,דירה בבית קומות,1,רמת גן,2023,85,4,['רמת גן רוחמה 36'],רוחמה 36 רמת גן,"(32.07181625384616, 34.82149836153846)",Bialik,1.897838543,1000+,2022,21-22,21-22 - 1000+
"['006158', '0403']",2022-02-22 00:00:00,1250000,1250000,דירה בבית קומות,0.333,רמת גן,1960,111,4,['רמת גן זלמן שניאור 3'],זלמן שניאור 3 רמת גן,"(32.0765541, 34.8204291)",Bialik,1.387017781,1000+,2022,21-22,21-22 - 1000+
"['006157', '0684']",2022-02-09 00:00:00,2185000,2185000,דירה בבית קומות,1,רמת גן,2023,65,3,['רמת גן רוחמה 36'],רוחמה 36 רמת גן,"(32.07181625384616, 34.82149836153846)",Bialik,1.897838543,1000+,2022,21-22,21-22 - 1000+
"['006157', '0699']",2022-01-24 00:00:00,800000,800000,דירה בבית קומות,0.068,רמת גן,1950,76,3,"['רמת גן אלרואי 48', 'רמת גן אלרואי 46']",אלרואי 48 רמת גן,"(32.071227500000006, 34.822187683333325)",Bialik,1.985058994,1000+,2022,21-22,21-22 - 1000+
"['006157', '0550']",2022-02-15 00:00:00,1600000,1600000,דירה בבית קומות,1,רמת גן,1960,50,2,"['רמת גן כנפי נשרים 42', 'רמת גן עוזיאל 96']",כנפי נשרים 42 רמת גן,"(32.0700113, 34.8221904)",Bialik,2.106763195,1000+,2022,21-22,21-22 - 1000+
"['006157', '0696']",2021-12-06 00:00:00,575000,575000,דירה בבית קומות,0.25,רמת גן,2004,73,4,['רמת גן אלרואי 47'],אלרואי 47 רמת גן,"(32.07150086666667, 34.8220846)",Bialik,1.953589994,1000+,2021,21-22,21-22 - 1000+
"['006157', '0694']",2022-03-13 00:00:00,2325983,2325983,דירה בבית קומות,1,רמת גן,2022,67,3,['רמת גן אלרואי 39'],אלרואי 39 רמת גן,"(32.071523133333336, 34.8215902)",Bialik,1.930910832,1000+,2022,21-22,21-22 - 1000+
"['006158', '0243']",2022-03-15 00:00:00,2460000,2460000,דירה בבית קומות,1,רמת גן,1960,82,3,['רמת גן שדרות ירושלים 29'],ירושלים 29 רמת גן,"(32.0844369, 34.8298683)",Ben Gurion,0.936414259,500-1000,2022,21-22,21-22 - 500-1000
